SID,DTime,DAuto,DEvent,DEventText,DEffectText,DAltText,DGroup,DArgCount,DText1,DValue1,DText2,DValue2,DText3,DValue3,DText4,DValue4,DText5,DValue5,scheduleID
61,0.0,0,28,Input Definition,(SYSTEM),,0,5,Auxiliary_IN #1,8.0,Auxiliary_IN #2,9,Auxiliary_IN #3,10,Tray #1,0,BIRBeam #1,1,Day 0
61,0.0,1,28,Input Definition,(SYSTEM),,0,5,FIRBeam #1,2.0,RightFIRBeam #1,3,FeederStatus #1,4,Terminal_Block_IN #6,5,Terminal_Block_IN #7,6,Day 0
61,0.0,2,28,Input Definition,(SYSTEM),,0,1,Terminal_Block_IN #8,7.0,,0,,0,,0,,0,Day 0
61,0.0,3,27,Output Definition,(SYSTEM),,0,5,Auxiliary Enable,18.0,init_TTL #1,10,onset_choice_TTL #1,11,cue_TTL #1,12,reward_retrieval_TTL #1,13,Day 0
61,0.0,4,27,Output Definition,(SYSTEM),,0,5,TTL #1,14.0,TTL #2,15,Auxiliary_OUT #7,16,Auxiliary_OUT #8,17,HouseLight #1,0,Day 0
61,0.0,5,27,Output Definition,(SYSTEM),,0,5,TrayLight #1,1.0,Feeder #1,2,Feeder #2,3,HouseLight #2,4,Terminal_Block_OUT #6,5,Day 0
61,0.0,6,27,Output Definition,(SYSTEM),,0,4,Terminal_Block_OUT #7,6.0,Terminal_Block_OUT #8,7,Terminal_Block_OUT #9,8,Terminal_Block_OUT #10,9,,0,Day 0
61,0.0,7,16,Variable Event,_Trial_Counter,,0,1,Value,0.0,,0,,0,,0,,0,Day 0
61,0.0,8,16,Variable Event,Feeder_Pulse_Time,,0,1,Value,2000.0,,0,,0,,0,,0,Day 0
61,0.0,9,10003,INFO,(SYSTEM),(INFO),0,1,24 Volt is online.,0.0,,0,,0,,0,,0,Day 0
61,0.0,10,10003,INFO,(SYSTEM),(INFO),0,1,24 Volt is online.,0.0,,0,,0,,0,,0,Day 0
61,0.0,11,0,Schedule Startup Event,(SYSTEM),,0,0,,0.0,,0,,0,,0,,0,Day 0
61,0.0,12,29,Timer Event,_Schedule_Timer,,0,1,Value,0.0,,0,,0,,0,,0,Day 0
61,0.0,13,21,Group Change Event,Group Change,,0,1,New Group,1.0,,0,,0,,0,,0,Day 0
61,0.0,14,1,Condition Event,Start Feed,,1,0,,0.0,,0,,0,,0,,0,Day 0
61,0.0,15,3,Output On Event,TrayLight #1,,1,0,,0.0,,0,,0,,0,,0,Day 0
61,0.0,16,7,Pulse Output Event,Feeder #1,,1,1,Duration,2.0,,0,,0,,0,,0,Day 0
61,0.0,17,21,Group Change Event,Group Change,,1,1,New Group,2.0,,0,,0,,0,,0,Day 0
61,0.569,18,39,Input Transition Off Event,FIRBeam #1,,2,0,,0.0,,0,,0,,0,,0,Day 0
61,1.135,19,38,Input Transition On Event,BIRBeam #1,,2,0,,0.0,,0,,0,,0,,0,Day 0
61,1.531,20,39,Input Transition Off Event,BIRBeam #1,,2,0,,0.0,,0,,0,,0,,0,Day 0
61,4.634,21,38,Input Transition On Event,FIRBeam #1,,2,0,,0.0,,0,,0,,0,,0,Day 0
61,5.734,22,39,Input Transition Off Event,FIRBeam #1,,2,0,,0.0,,0,,0,,0,,0,Day 0
61,6.508,23,38,Input Transition On Event,BIRBeam #1,,2,0,,0.0,,0,,0,,0,,0,Day 0
61,6.778,24,39,Input Transition Off Event,BIRBeam #1,,2,0,,0.0,,0,,0,,0,,0,Day 0
61,7.357,25,38,Input Transition On Event,BIRBeam #1,,2,0,,0.0,,0,,0,,0,,0,Day 0
61,8.202,26,38,Input Transition On Event,Tray #1,,2,0,,0.0,,0,,0,,0,,0,Day 0
61,8.634,27,39,Input Transition Off Event,Tray #1,,2,0,,0.0,,0,,0,,0,,0,Day 0
61,10.467,28,38,Input Transition On Event,FIRBeam #1,,2,0,,0.0,,0,,0,,0,,0,Day 0
61,10.522,29,39,Input Transition Off Event,FIRBeam #1,,2,0,,0.0,,0,,0,,0,,0,Day 0
61,11.914,30,39,Input Transition Off Event,BIRBeam #1,,2,0,,0.0,,0,,0,,0,,0,Day 0
61,12.119,31,38,Input Transition On Event,FIRBeam #1,,2,0,,0.0,,0,,0,,0,,0,Day 0
61,14.415,32,39,Input Transition Off Event,FIRBeam #1,,2,0,,0.0,,0,,0,,0,,0,Day 0
61,17.546,33,38,Input Transition On Event,FIRBeam #1,,2,0,,0.0,,0,,0,,0,,0,Day 0
61,18.56,34,39,Input Transition Off Event,FIRBeam #1,,2,0,,0.0,,0,,0,,0,,0,Day 0
61,21.084,35,38,Input Transition On Event,FIRBeam #1,,2,0,,0.0,,0,,0,,0,,0,Day 0
