mouseID,SID,dbID,date_run,start_time,chamber,scheduleName,numTrialsCompleted,maxTrialLength,timeTrialCompleted,whoRan
quagga1,44,Females_JAN26a,01/13/26,08:12:52,Chamber 13 [Env. 21],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,232.0,1800,1800.0,lg
quagga2,43,Females_JAN26a,01/13/26,08:12:05,Chamber 15 [Env. 23],cog_Mouse Pairwise Must Touch Training v3_RewardTone,291.0,1800,1800.002,lg
quagga3,46,Females_JAN26a,01/13/26,08:55:11,Chamber 13 [Env. 21],cog_Mouse Pairwise Must Touch Training v3_RewardTone,325.0,1800,1800.0,lg
quagga4,45,Females_JAN26a,01/13/26,08:55:11,Chamber 15 [Env. 23],cog_Mouse Pairwise Must Touch Training v3_RewardTone,340.0,1800,1800.0,lg
