mouseID,SID,dbID,date_run,start_time,chamber,scheduleName,numTrialsCompleted,maxTrialLength,timeTrialCompleted,whoRan

dodo1,40,Males_DEC25a,12/09/25,08:13:37,Chamber 5 [Env. 21],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,53.0,1800,1800.0,lg
dodo2,41,Males_DEC25a,12/09/25,08:13:37,Chamber 6 [Env. 22],cog_Mouse Pairwise Must Touch Training v3_RewardTone,140.0,1800,1800.0,lg
dodo3,44,Males_DEC25a,12/09/25,08:46:03,Chamber 5 [Env. 21],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,132.0,1800,1800.001,lg
dodo4,45,Males_DEC25a,12/09/25,08:46:37,Chamber 6 [Env. 22],cog_Mouse Pairwise Must Touch Training v3_RewardTone,87.0,1800,1800.004,lg

quagga1,60,Females_DEC25a,12/09/25,08:12:16,Chamber 13 [Env. 21],cog_Mouse Pairwise Must Touch Training v3_RewardTone,12.0,1800,1800.0,rs
quagga2,61,Females_DEC25a,12/09/25,08:13:13,Chamber 15 [Env. 23],cog_Mouse Pairwise Must Touch Training v3_RewardTone,139.0,1800,1800.0,rs
quagga3,66,Females_DEC25a,12/09/25,08:46:51,Chamber 13 [Env. 21],cog_Mouse Pairwise Must Touch Training v3_RewardTone,218.0,1800,1800.009,rs
quagga4,67,Females_DEC25a,12/09/25,08:47:47,Chamber 15 [Env. 23],cog_Mouse Pairwise Must Touch Training v3_RewardTone,145.0,1800,1800.0,rs
