mouseID,SID,dbID,date_run,start_time,chamber,scheduleName,numTrialsCompleted,maxTrialLength,timeTrialCompleted,whoRan

dodo1,36,Males_NOV25a,11/21/25,08:07:42,Chamber 5 [Env. 21],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,23.0,1800,1800.003,rs
dodo2,35,Males_NOV25a,11/21/25,08:07:17,Chamber 6 [Env. 22],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,58.0,1800,1800.0,rs
dodo3,37,Males_NOV25a,11/21/25,08:40:25,Chamber 5 [Env. 21],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,47.0,1800,1800.008,rs
dodo4,38,Males_NOV25a,11/21/25,08:40:25,Chamber 6 [Env. 22],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,45.0,1800,1800.006,rs

quagga1,92,Females_NOV25a,11/21/25,08:03:32,Chamber 13 [Env. 21],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,17.0,1800,1800.001,rs
quagga2,93,Females_NOV25a,11/21/25,08:04:29,Chamber 15 [Env. 23],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,39.0,1800,1800.0,rs
quagga3,97,Females_NOV25a,11/21/25,08:35:03,Chamber 13 [Env. 21],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,184.0,1800,1800.0,rs
quagga4,98,Females_NOV25a,11/21/25,08:35:52,Chamber 15 [Env. 23],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,50.0,1800,1800.0,rs

