mouseID,SID,dbID,date_run,start_time,chamber,scheduleName,numTrialsCompleted,maxTrialLength,timeTrialCompleted,whoRan

dodo1,49,Males_NOV25a,11/26/25,08:14:22,Chamber 5 [Env. 21],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,41.0,1800,1800.0,es
dodo2,48,Males_NOV25a,11/26/25,08:13:19,Chamber 6 [Env. 22],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,59.0,1800,1800.01,es
dodo3,51,Males_NOV25a,11/26/25,08:50:23,Chamber 5 [Env. 21],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,50.0,1800,1800.0,es
dodo4,50,Males_NOV25a,11/26/25,08:47:32,Chamber 6 [Env. 22],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,55.0,1800,1800.01,es

quagga1,119,Females_NOV25a,11/26/25,08:09:18,Chamber 13 [Env. 21],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,12.0,1800,1800.0,es
quagga2,118,Females_NOV25a,11/26/25,08:08:21,Chamber 15 [Env. 23],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,45.0,1800,1800.0,es
quagga3,120,Females_NOV25a,11/26/25,08:46:50,Chamber 13 [Env. 21],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,244.0,1800,1800.0,dp
quagga4,121,Females_NOV25a,11/26/25,08:46:50,Chamber 15 [Env. 23],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,58.0,1800,1800.0,dp

