mouseID,SID,dbID,date_run,start_time,chamber,scheduleName,numTrialsCompleted,maxTrialLength,timeTrialCompleted,whoRan

dodo1,4,Males_DEC25a,12/02/25,08:19:10,Chamber 5 [Env. 21],cog_Mouse Pairwise Must Touch Training v3_RewardTone,6.0,1800,1800.005,rs
dodo2,3,Males_DEC25a,12/02/25,08:17:52,Chamber 6 [Env. 22],cog_Mouse Pairwise Must Touch Training v3_RewardTone,101.0,1800,1800.0,rs
dodo3,6,Males_DEC25a,12/02/25,08:53:37,Chamber 5 [Env. 21],cog_Mouse Pairwise Must Touch Training v3_RewardTone,2.0,1800,1632.693,sm
dodo4,5,Males_DEC25a,12/02/25,08:51:03,Chamber 6 [Env. 22],cog_Mouse Pairwise Must Touch Training v3_RewardTone,38.0,1800,1786.006,sm

quagga1,8,Females_DEC25a,12/02/25,08:10:35,Chamber 13 [Env. 21],cog_Mouse Pairwise Must Touch Training v3_RewardTone,14.0,1800,1800.009,rs
quagga2,7,Females_DEC25a,12/02/25,08:09:40,Chamber 15 [Env. 23],cog_Mouse Pairwise Must Touch Training v3_RewardTone,11.0,1800,1800.0,rs
quagga3,10,Females_DEC25a,12/02/25,08:44:25,Chamber 13 [Env. 21],cog_Mouse Pairwise Must Touch Training v3_RewardTone,268.0,1800,1800.006,rs
quagga4,11,Females_DEC25a,12/02/25,08:45:20,Chamber 15 [Env. 23],cog_Mouse Pairwise Must Touch Training v3_RewardTone,61.0,1800,1800.0,rs
