mouseID,SID,dbID,date_run,start_time,chamber,scheduleName,numTrialsCompleted,maxTrialLength,timeTrialCompleted,whoRan

dodo1,33,Males_DEC25a,12/08/25,08:11:01,Chamber 5 [Env. 21],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,53.0,1800,1800.002,lg
dodo2,34,Males_DEC25a,12/08/25,08:11:01,Chamber 6 [Env. 22],cog_Mouse Pairwise Must Touch Training v3_RewardTone,112.0,1800,1800.006,lg
dodo3,37,Males_DEC25a,12/08/25,08:44:51,Chamber 5 [Env. 21],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,97.0,1800,1800.004,lg
dodo4,38,Males_DEC25a,12/08/25,08:44:51,Chamber 6 [Env. 22],cog_Mouse Pairwise Must Touch Training v3_RewardTone,57.0,1800,1800.0,lg

quagga1,50,Females_DEC25a,12/08/25,08:04:57,Chamber 13 [Env. 21],cog_Mouse Pairwise Must Touch Training v3_RewardTone,13.0,1800,1800.0,lg
quagga2,49,Females_DEC25a,12/08/25,08:04:57,Chamber 15 [Env. 23],cog_Mouse Pairwise Must Touch Training v3_RewardTone,84.0,1800,1800.007,lg
quagga4,55,Females_DEC25a,12/08/25,08:41:30,Chamber 15 [Env. 23],cog_Mouse Pairwise Must Touch Training v3_RewardTone,102.0,1800,1800.0,th
quagga3,56,Females_DEC25a,12/08/25,08:41:31,Chamber 13 [Env. 21],cog_Mouse Pairwise Must Touch Training v3_RewardTone,209.0,1800,1800.0,th

