mouseID,sex,date,weekday,schedule,trials,note
dodo4,M,2026-01-15,3.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,149.0,
quagga1,F,2026-01-15,3.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,270.0,
quagga2,F,2026-01-15,3.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,318.0,
quagga3,F,2026-01-15,3.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,315.0,
quagga4,F,2026-01-15,3.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,337.0,
,,,,,,
dodo1,M,2026-01-16,4.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,332.0,
dodo2,M,2026-01-16,4.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,265.0,
dodo3,M,2026-01-16,4.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,316.0,
dodo4,M,2026-01-16,4.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,245.0,
quagga1,F,2026-01-16,4.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,298.0,
quagga2,F,2026-01-16,4.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,328.0,
quagga3,F,2026-01-16,4.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,332.0,
quagga4,F,2026-01-16,4.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,319.0,
,,,,,,
dodo1,M,2026-01-20,1.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,322.0,
dodo2,M,2026-01-20,1.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,250.0,
dodo3,M,2026-01-20,1.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,252.0,
dodo4,M,2026-01-20,1.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,212.0,
quagga1,F,2026-01-20,1.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,291.0,
quagga2,F,2026-01-20,1.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,305.0,
quagga3,F,2026-01-20,1.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,306.0,
quagga4,F,2026-01-20,1.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,326.0,
,,,,,,
dodo1,M,2026-01-21,2.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,317.0,
dodo2,M,2026-01-21,2.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,287.0,
dodo3,M,2026-01-21,2.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,258.0,
dodo4,M,2026-01-21,2.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,241.0,
quagga1,F,2026-01-21,2.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,279.0,
quagga2,F,2026-01-21,2.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,297.0,
quagga3,F,2026-01-21,2.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,300.0,
quagga4,F,2026-01-21,2.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,292.0,
,,,,,,
dodo1,M,2026-01-22,3.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,328.0,
dodo2,M,2026-01-22,3.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,299.0,
dodo3,M,2026-01-22,3.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,330.0,
dodo4,M,2026-01-22,3.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,264.0,
quagga1,F,2026-01-22,3.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,314.0,
quagga2,F,2026-01-22,3.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,232.0,
quagga3,F,2026-01-22,3.0,cog_Mouse Pairwise Must Initiate Training shortITI_MP_RewardTone,306.0,
quagga4,F,2026-01-22,3.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,292.0,
,,,,,,
dodo1,M,2026-01-26,0.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,315.0,
dodo2,M,2026-01-26,0.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,293.0,
dodo3,M,2026-01-26,0.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,306.0,
dodo4,M,2026-01-26,0.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,286.0,
quagga1,F,2026-01-26,0.0,cog_Mouse Pairwise Must Touch Training v3_RewardTone,289.0,
quagga2,F,2026-01-26,0.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,274.0,
quagga3,F,2026-01-26,0.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,310.0,
quagga4,F,2026-01-26,0.0,cog_Mouse Pairwise Must Initiate Training v3 shortITI_RewardTone,273.0,
,,,,,,
