mouseID,date,timeTaken,total trial,percentCorrect
dodo1,02-10-26,3057.485,250,55.60000000000001
dodo2,02-10-26,1689.691,250,98.0
dodo3,02-10-26,1709.863,250,98.4
dodo4,02-10-26,1550.799,250,98.4
quagga1,02-10-26,7200.0,192,47.91666666666667
quagga2,02-10-26,2086.807,250,96.8
quagga3,02-10-26,2497.921,250,88.8
quagga4,02-10-26,1698.682,250,95.6
