mouseID,date,timeTaken,total trial,percentCorrect
dodo2,02-03-26,2126.241,250,68.0
dodo4,02-03-26,2828.818,250,67.60000000000001
quagga2,02-03-26,1968.964,250,77.2
quagga3,02-03-26,2280.645,250,62.8
quagga4,02-03-26,2290.569,250,49.6
