mouseID,SID,dbID,date_run,start_time,chamber,scheduleName,numTrialsCompleted,maxTrialLength,timeTrialCompleted,whoRan

dodo1,28,Males_NOV25a,11/19/25,08:11:31,Chamber 5 [Env. 21],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,9.0,1800,1800.0,es
dodo2,27,Males_NOV25a,11/19/25,08:11:31,Chamber 6 [Env. 22],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,38.0,1800,1800.0,es
dodo3,29,Males_NOV25a,11/19/25,08:43:27,Chamber 5 [Env. 21],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,39.0,1800,1800.0,es
dodo4,30,Males_NOV25a,11/19/25,08:43:27,Chamber 6 [Env. 22],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,40.0,1800,1800.0,es

quagga1,76,Females_NOV25a,11/19/25,08:04:10,Chamber 13 [Env. 21],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,22.0,1800,1800.0,rs
quagga2,78,Females_NOV25a,11/19/25,08:05:42,Chamber 15 [Env. 23],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,15.0,1800,1800.0,rs
quagga3,83,Females_NOV25a,11/19/25,08:39:39,Chamber 13 [Env. 21],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,18.0,1800,1800.0,rs
quagga4,82,Females_NOV25a,11/19/25,08:39:39,Chamber 15 [Env. 23],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,45.0,1800,1800.0,rs
