mouseID,SID,dbID,date_run,start_time,chamber,scheduleName,numTrialsCompleted,maxTrialLength,timeTrialCompleted,whoRan

dodo1,44,Males_NOV25a,11/25/25,09:12:49,Chamber 5 [Env. 21],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,60.0,1800,1800.0,rs
dodo2,43,Males_NOV25a,11/25/25,09:12:49,Chamber 6 [Env. 22],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,37.0,1800,1800.01,rs
dodo3,47,Males_NOV25a,11/25/25,09:46:55,Chamber 5 [Env. 21],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,47.0,1800,1800.0,rs
dodo4,45,Males_NOV25a,11/25/25,09:45:42,Chamber 6 [Env. 22],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,50.0,1800,1800.009,rs

quagga1,113,Females_NOV25a,11/25/25,09:03:22,Chamber 13 [Env. 21],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,30.0,1800,1800.0,rs
quagga2,112,Females_NOV25a,11/25/25,09:02:32,Chamber 15 [Env. 23],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,46.0,1800,1800.0,rs
quagga3,114,Females_NOV25a,11/25/25,09:35:45,Chamber 13 [Env. 21],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,206.0,1800,1800.01,rs
quagga4,115,Females_NOV25a,11/25/25,09:36:38,Chamber 15 [Env. 23],cog_Mouse Pairwise Initial Touch Training v3_RewardTone,57.0,1800,1800.0,rs

